Date,Open,High,Low,Close,Adj Close,Volume
2014-05-26,59.5,62.375,59.5,60.424999,58.794247,313822
2014-05-27,61,62.650002,60.25,60.799999,59.159126,874760
2014-05-28,61.224998,61.224998,58.525002,59.474998,57.869884,1285632
2014-05-29,59,60.625,59,60.375,58.745598,1401590
2014-05-30,60.849998,62.549999,60.775002,62.450001,60.764599,294766
2014-06-02,62.950001,64.925003,62.950001,64.474998,62.734947,407234
2014-06-03,65,65.699997,64.5,64.949997,63.197128,706656
2014-06-04,65.5,65.5,64.275002,64.574997,62.832249,296820
2014-06-05,65.125,65.125,63.75,64.25,62.516018,68030
2014-06-06,64.525002,64.925003,63.424999,63.974998,62.248444,1134084
2014-06-09,64,67,63,66.275002,64.486366,992888
2014-06-10,67.224998,67.224998,66.275002,66.849998,65.045853,384886
2014-06-11,67.224998,68.125,66.75,68,66.16481,967338
2014-06-12,68.074997,69.474998,67.5,67.925003,66.091843,957376
2014-06-13,68,68.375,67.125,67.650002,65.824265,155768
2014-06-16,68.5,68.5,66.300003,67.25,65.435051,1093010
2014-06-17,67.25,67.349998,66.300003,66.775002,64.972878,169774
2014-06-18,69.25,69.25,66.074997,66.525002,64.729622,311772
2014-06-19,67.474998,67.474998,64.449997,65.099998,63.343075,317956
2014-06-20,65,65.150002,62.75,63.025002,61.324078,763054
2014-06-23,63.150002,64.599998,62.549999,63,61.299755,629764
2014-06-24,63,64.099998,62.349998,63.625,61.90789,316510
2014-06-25,64.900002,64.900002,64.074997,64.449997,62.710617,1025456
2014-06-26,64.75,65,64,64.650002,62.905228,1547448
2014-06-27,65,65,64.175003,64.400002,62.661976,810208
2014-06-30,65,65,64.275002,64.5,62.759274,718254
2014-07-01,65.800003,65.900002,64.525002,64.75,63.002525,316534
2014-07-02,65.150002,65.199997,63.599998,64.474998,62.734947,582332
2014-07-03,65,65,63.150002,63.549999,61.834911,962126
2014-07-04,63.75,64.599998,63.25,64,62.272766,1758900
2014-07-07,64.25,65,64.25,64.5,62.759274,1668224
2014-07-08,64.824997,64.900002,62,62.974998,61.275425,2948916
2014-07-09,63.049999,66.5,63.049999,64.675003,62.92955,314370
2014-07-10,64.949997,65.900002,64.224998,64.75,63.002525,285328
2014-07-11,65.199997,67.849998,64.875,66.949997,65.143143,177622
2014-07-14,66.5,68.699997,63.25,65.574997,63.805264,292550
2014-07-15,65.75,66.324997,64.5,64.925003,63.172806,1477062
2014-07-16,65.099998,65.474998,64.824997,65.074997,63.318752,1731606
2014-07-17,65.5,71.375,65.199997,70.199997,68.305443,950618
2014-07-18,68.949997,70.699997,68.824997,69.125,67.259453,478448
2014-07-21,69.800003,71.425003,69.474998,69.900002,68.013542,414040
2014-07-22,70,70.974998,68.849998,70.199997,68.305443,1315062
2014-07-23,71.050003,72.800003,70.75,71.150002,69.229797,478856
2014-07-24,71.650002,71.650002,69.75,70.449997,68.548691,325086
2014-07-25,70.449997,70.5,68.849998,69.150002,67.283783,832812
2014-07-28,69.375,69.5,68.199997,68.800003,66.94323,2173018
2014-07-30,69.199997,69.650002,68.400002,68.925003,67.06485,1973642
2014-07-31,68.974998,70.449997,68.974998,69.300003,67.429726,622998
2014-08-01,69.199997,69.5,68.525002,69.050003,67.186485,478524
2014-08-04,69,69.5,68.949997,69.150002,67.283783,801388
2014-08-05,69.199997,69.849998,69.025002,69.375,67.502708,380110
2014-08-06,69.324997,69.525002,68,68.425003,66.578354,882790
2014-08-07,68.474998,68.974998,68.349998,68.5,66.651321,694108
2014-08-08,68.5,68.625,66.199997,66.724998,64.924225,914908
2014-08-11,67.449997,67.875,66.5,66.900002,65.094498,872760
2014-08-12,66.800003,67.474998,66.75,67.025002,65.216133,520512
2014-08-13,67.125,67.199997,65,65.150002,63.391739,576326
2014-08-14,65.449997,66.099998,65.025002,65.699997,63.92688,387224
2014-08-18,65.25,66.474998,65,65.175003,63.416058,1170082
2014-08-19,65.5,65.5,63.875,64.25,62.516018,330506
2014-08-20,64.474998,65.949997,64.474998,65.050003,63.29443,673368
2014-08-21,67.5,69.25,65.5,65.949997,64.170143,609380
2014-08-22,66.175003,66.400002,63.75,64.050003,62.321426,743280
2014-08-25,64.800003,65.75,63.549999,64.150002,62.41872,463236
2014-08-26,64.150002,64.849998,62.5,62.849998,61.153797,1203660
2014-08-27,63.25,63.299999,61.700001,62.549999,60.8619,504540
2014-08-28,63,66.300003,63,64.550003,62.807922,970084
2014-09-01,64.949997,65,62.049999,62.400002,60.71595,1026682
2014-09-02,62.400002,63.174999,61.875,62.075001,60.399719,690200
2014-09-03,62.25,62.950001,60.775002,62.275002,60.594322,1143476
2014-09-04,62.5,64.050003,62.174999,63.674999,61.956535,559936
2014-09-05,63.75,64.224998,62.474998,63.799999,62.078167,573616
2014-09-08,64.400002,64.5,62.349998,63.474998,61.761936,651394
2014-09-09,63.200001,63.825001,62.575001,62.799999,61.105152,940624
2014-09-10,62.5,63.25,62.125,62.674999,60.983521,377946
2014-09-11,63.5,64.5,62.849998,64.074997,62.345737,482822
2014-09-12,64.625,64.699997,62.424999,62.724998,61.032177,635124
2014-09-15,62.775002,63.450001,62.349998,62.575001,60.886227,356396
2014-09-16,62.700001,63.025002,61.525002,62.025002,60.351074,1412888
2014-09-17,62.200001,62.75,61.549999,61.75,60.083488,486198
2014-09-18,62.025002,62.549999,61.5,61.724998,60.059162,726156
2014-09-19,61.900002,64.75,61.799999,64.25,62.770252,763396
2014-09-22,64.050003,66.449997,64.050003,64.974998,63.47855,702080
2014-09-23,65.150002,65.349998,63.5,64.074997,62.599277,853258
2014-09-24,64.449997,64.449997,62.125,62.650002,61.207104,824882
2014-09-25,62.950001,63.599998,62.5,62.950001,61.500195,3609656
2014-09-26,63.099998,63.549999,62.349998,62.75,61.304798,1379826
2014-09-29,63.075001,63.474998,62.549999,62.875,61.426922,363788
2014-09-30,63.825001,63.825001,62.575001,62.924999,61.475765,441450
2014-10-01,63,63.5,62.5,62.700001,61.255955,1987866
2014-10-07,62.75,63.650002,61.25,62.5,61.060555,1343058
2014-10-08,62.5,62.625,61.75,62,60.572071,482116
2014-10-09,62.200001,62.875,62,62.450001,61.011711,529458
2014-10-10,62.375,62.799999,61.375,62.375,60.938435,1156250
2014-10-13,62.400002,63,61.825001,62.575001,61.133827,1691266
2014-10-14,62.950001,65.449997,61.950001,62.924999,61.475765,1105862
2014-10-15,62.924999,62.924999,62.924999,62.924999,61.475765,0
2014-10-16,62.75,62.799999,61.924999,62.150002,60.718616,771988
2014-10-17,62.275002,62.375,61.200001,61.724998,60.303406,647382
2014-10-20,61.950001,64.449997,61.950001,63.275002,61.817707,347320
2014-10-21,64,65,63.525002,64.474998,62.99007,1158436
2014-10-22,65.224998,65.5,64,64.449997,62.965645,160118
2014-10-27,64.599998,65,64.150002,64.550003,63.063343,137348
2014-10-28,64.625,64.925003,63.724998,64,62.526009,172458
2014-10-29,63.900002,64.449997,63.625,64.125,62.648129,394252
2014-10-30,64.025002,64.25,63.150002,63.775002,62.30619,138252
2014-10-31,64.199997,64.349998,63.25,63.549999,62.086372,85266
2014-11-03,63.700001,63.950001,62.5,62.775002,61.329227,87576
2014-11-05,62.700001,62.950001,61.325001,61.875,60.449951,304874
2014-11-07,61.799999,62.299999,61,61.799999,60.376675,176038
2014-11-10,61.950001,62.75,61.650002,62.349998,60.914013,169848
2014-11-11,62.724998,64.349998,62.700001,63.325001,61.866558,1223506
2014-11-12,63.875,67.224998,63.875,66.625,65.090553,543514
2014-11-13,67.199997,67.900002,66.025002,66.425003,64.895157,604924
2014-11-14,66.650002,69.949997,66.650002,67.775002,66.214066,1178852
2014-11-17,68,68.75,67.349998,67.650002,66.091949,190802
2014-11-18,67.5,68.449997,66.25,67.849998,66.287338,1278046
2014-11-19,68.25,68.824997,66.400002,66.699997,65.163826,306536
2014-11-20,66.699997,67.275002,66.199997,66.650002,65.114983,413276
2014-11-21,66,67.150002,65.650002,66.650002,65.114983,201540
2014-11-24,67.074997,67.400002,65.375,66.400002,64.870735,114444
2014-11-25,66.5,67,64.099998,65.425003,63.918198,2674240
2014-11-26,64.525002,65.449997,64.275002,64.650002,63.161041,135872
2014-11-27,64.800003,67.25,64.800003,66.699997,65.163826,1496840
2014-11-28,67.050003,72.474998,67.050003,69.525002,67.923759,1234540
2014-12-01,70,77,69.949997,72.625,70.952362,1712816
2014-12-02,72.875,72.875,70.5,71,69.364792,467296
2014-12-03,71.25,73.150002,71.125,71.824997,70.170792,492612
2014-12-04,72.449997,73.900002,70,71.675003,70.024246,348868
2014-12-05,71.949997,72.5,70,70.599998,68.974007,892356
2014-12-08,71,72.75,70.800003,71.775002,70.121941,457482
2014-12-09,71.425003,71.800003,70.775002,71.474998,69.82885,875192
2014-12-10,71.5,71.949997,68.824997,69,67.410858,448230
2014-12-11,69.5,71.199997,69,69.375,67.777214,844756
2014-12-12,69.150002,70.324997,68.974998,69.099998,67.508545,817602
2014-12-15,68,70.925003,67.625,69.199997,67.606247,1509260
